id,model,code,name,user_type_id,user_type_id_exid,reconcile,chart_template_id
yto_chart1002_001_099_004,account.account.template,1002.001.099.004,银行存款_存款_其他_华夏银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002,account.account.template,1002.002,银行存款_保证金,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_001,account.account.template,1002.002.001,银行存款_保证金_财务公司,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_002,account.account.template,1002.002.002,银行存款_保证金_中国建设银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_003,account.account.template,1002.002.003,银行存款_保证金_中国银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_004,account.account.template,1002.002.004,银行存款_保证金_中国交通银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_005,account.account.template,1002.002.005,银行存款_保证金_商业银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_006,account.account.template,1002.002.006,银行存款_保证金_中国农业银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_007,account.account.template,1002.002.007,银行存款_保证金_中国工商银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_008,account.account.template,1002.002.008,银行存款_保证金_浦发银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_009,account.account.template,1002.002.009,银行存款_保证金_中信银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_010,account.account.template,1002.002.010,银行存款_保证金_招商银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_011,account.account.template,1002.002.011,银行存款_保证金_兴业银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_012,account.account.template,1002.002.012,银行存款_保证金_广发银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_013,account.account.template,1002.002.013,银行存款_保证金_光大银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_014,account.account.template,1002.002.014,银行存款_保证金_外币存款,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_015,account.account.template,1002.002.015,银行存款_保证金_中国信合,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_016,account.account.template,1002.002.016,银行存款_保证金_渤海银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_017,account.account.template,1002.002.017,银行存款_保证金_民生银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_018,account.account.template,1002.002.018,银行存款_保证金_龙江银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_019,account.account.template,1002.002.019,银行存款_保证金_财务公司银行承兑保证金,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_022,account.account.template,1002.002.022,银行存款_保证金_国机财务公司,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_023,account.account.template,1002.002.023,银行存款_保证金_国家开发银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1002_002_024,account.account.template,1002.002.024,银行存款_保证金_中国邮政储蓄银行,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1004,account.account.template,1004,厂内银行存款,银行和现金,account.data_account_type_liquidity,FALSE,l10n_chart_china_yto
yto_chart1009,account.account.template,1009,其他货币资金,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1009_001,account.account.template,1009.001,其他货币资金_外埠存款,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1009_002,account.account.template,1009.002,其他货币资金_银行本票,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1009_003,account.account.template,1009.003,其他货币资金_银行汇票,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1009_004,account.account.template,1009.004,其他货币资金_信用卡,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1009_005,account.account.template,1009.005,其他货币资金_信用证保证金,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1009_006,account.account.template,1009.006,其他货币资金_存出投资款,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1009_007,account.account.template,1009.007,其他货币资金_保函保证金,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1103,account.account.template,1103,交易性金融资产,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1103_001,account.account.template,1103.001,交易性金融资产_成本,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1103_001_001,account.account.template,1103.001.001,交易性金融资产_成本_股票,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1103_001_002,account.account.template,1103.001.002,交易性金融资产_成本_债券,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1103_001_003,account.account.template,1103.001.003,交易性金融资产_成本_基金,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1103_001_004,account.account.template,1103.001.004,交易性金融资产_成本_其他,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1103_002,account.account.template,1103.002,交易性金融资产_公允价值变动,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1103_002_001,account.account.template,1103.002.001,交易性金融资产_公允价值变动_股票,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1103_002_002,account.account.template,1103.002.002,交易性金融资产_公允价值变动_债券,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1103_002_003,account.account.template,1103.002.003,交易性金融资产_公允价值变动_基金,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1103_002_004,account.account.template,1103.002.004,交易性金融资产_公允价值变动_其他,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1111,account.account.template,1111,应收票据,流动资产,account.data_account_type_current_assets,TRUE,l10n_chart_china_yto
yto_chart1111_001,account.account.template,1111.001,应收票据_银行承兑汇票,流动资产,account.data_account_type_current_assets,TRUE,l10n_chart_china_yto
yto_chart1111_002,account.account.template,1111.002,应收票据_商业承兑汇票,流动资产,account.data_account_type_current_assets,TRUE,l10n_chart_china_yto
yto_chart1111_003,account.account.template,1111.003,应收票据_电子承兑汇票,流动资产,account.data_account_type_current_assets,TRUE,l10n_chart_china_yto
yto_chart1112,account.account.template,1112,待付票据,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1112_001,account.account.template,1112.001,待付票据_银行承兑汇票,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1112_002,account.account.template,1112.002,待付票据_商业承兑汇票,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1112_003,account.account.template,1112.003,待付票据_电子承兑汇票,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1121,account.account.template,1121,应收股利,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1122,account.account.template,1122,应收利息,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1122_001,account.account.template,1122.001,应收利息_债券,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1122_002,account.account.template,1122.002,应收利息_其他,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1131,account.account.template,1131,应收账款,应收,account.data_account_type_receivable,TRUE,l10n_chart_china_yto
yto_chart1133,account.account.template,1133,其他应收款,流动资产,account.data_account_type_current_assets,TRUE,l10n_chart_china_yto
yto_chart1133_001,account.account.template,1133.001,其他应收款_单位,流动资产,account.data_account_type_current_assets,TRUE,l10n_chart_china_yto
yto_chart1133_002,account.account.template,1133.002,其他应收款_个人,流动资产,account.data_account_type_current_assets,TRUE,l10n_chart_china_yto
yto_chart1133_003,account.account.template,1133.003,其他应收款_其他,流动资产,account.data_account_type_current_assets,TRUE,l10n_chart_china_yto
yto_chart1133_003_001,account.account.template,1133.003.001,其他应收款_其他_个人暂借款,流动资产,account.data_account_type_current_assets,TRUE,l10n_chart_china_yto
yto_chart1134,account.account.template,1134,备用金,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1141,account.account.template,1141,坏账准备,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1141_001,account.account.template,1141.001,坏账准备_应收帐款坏帐,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1141_001_001,account.account.template,1141.001.001,坏账准备_应收帐款坏帐_一般准备,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1141_001_001_001,account.account.template,1141.001.001.001,坏账准备_应收帐款坏帐_一般准备_计提或转回减值准备,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1141_001_002,account.account.template,1141.001.002,坏账准备_应收帐款坏帐_特殊准备,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1141_002,account.account.template,1141.002,坏账准备_其他应收款坏帐,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1141_002_001,account.account.template,1141.002.001,坏账准备_其他应收款坏帐_一般准备,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1141_002_001_001,account.account.template,1141.002.001.001,坏账准备_其他应收款坏帐_一般准备_计提或转回减值准备,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1141_002_002,account.account.template,1141.002.002,坏账准备_其他应收款坏帐_特殊准备,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1141_003,account.account.template,1141.003,坏账准备_预付帐款坏帐,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1141_003_001,account.account.template,1141.003.001,坏账准备_预付帐款坏帐_一般准备,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1141_003_002,account.account.template,1141.003.002,坏账准备_预付帐款坏帐_特殊准备,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1151,account.account.template,1151,预付账款,应收,account.data_account_type_receivable,TRUE,l10n_chart_china_yto
yto_chart1151_001,account.account.template,1151.001,预付账款_经营款项,应收,account.data_account_type_receivable,TRUE,l10n_chart_china_yto
yto_chart1151_002,account.account.template,1151.002,预付账款_工程款项,应收,account.data_account_type_receivable,TRUE,l10n_chart_china_yto
yto_chart1201,account.account.template,1201,材料采购,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_001,account.account.template,1201.001,材料采购_金属材料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_001_001,account.account.template,1201.001.001,材料采购_金属材料_钢材,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_002,account.account.template,1201.002,材料采购_辅助材料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_002_001,account.account.template,1201.002.001,材料采购_辅助材料_焊接材料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_002_002,account.account.template,1201.002.002,材料采购_辅助材料_油漆,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_002_003,account.account.template,1201.002.003,材料采购_辅助材料_油料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_002_004,account.account.template,1201.002.004,材料采购_辅助材料_燃料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_003,account.account.template,1201.003,材料采购_外购半成品,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_003_001,account.account.template,1201.003.001,材料采购_外购半成品_整机配件,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_003_002,account.account.template,1201.003.002,材料采购_外购半成品_标准零件,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_003_003,account.account.template,1201.003.003,材料采购_外购半成品_外委加工件,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_003_004,account.account.template,1201.003.004,材料采购_外购半成品_三包备件,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_004,account.account.template,1201.004,材料采购_修理用备件,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_004_001,account.account.template,1201.004.001,材料采购_修理用备件_电料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_004_002,account.account.template,1201.004.002,材料采购_修理用备件_机修备件,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_004_003,account.account.template,1201.004.003,材料采购_修理用备件_办公维修,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_004_004,account.account.template,1201.004.004,材料采购_修理用备件_水暖建安,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_005,account.account.template,1201.005,材料采购_低值易耗品,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_005_001,account.account.template,1201.005.001,材料采购_低值易耗品_办公用品,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_005_002,account.account.template,1201.005.002,材料采购_低值易耗品_土杂,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_005_003,account.account.template,1201.005.003,材料采购_低值易耗品_劳保用品,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_005_004,account.account.template,1201.005.004,材料采购_低值易耗品_工具,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_005_005,account.account.template,1201.005.005,材料采购_低值易耗品_刀具,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_005_006,account.account.template,1201.005.006,材料采购_低值易耗品_磨具,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_005_007,account.account.template,1201.005.007,材料采购_低值易耗品_量具,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_005_008,account.account.template,1201.005.008,材料采购_低值易耗品_辅具,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_005_009,account.account.template,1201.005.009,材料采购_低值易耗品_工装,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_006,account.account.template,1201.006,材料采购_成品,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1201_007,account.account.template,1201.007,材料采购_其他,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1211,account.account.template,1211,原材料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1211_001,account.account.template,1211.001,原材料_金属材料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1211_001_001,account.account.template,1211.001.001,原材料_金属材料_钢材,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1211_002,account.account.template,1211.002,原材料_辅助材料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1211_002_001,account.account.template,1211.002.001,原材料_辅助材料_焊接材料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1211_002_002,account.account.template,1211.002.002,原材料_辅助材料_油漆,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1211_002_003,account.account.template,1211.002.003,原材料_辅助材料_油料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1211_002_004,account.account.template,1211.002.004,原材料_辅助材料_燃料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1212,account.account.template,1212,外购半成品,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1212_001,account.account.template,1212.001,外购半成品_外部单位半成品,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1212_002,account.account.template,1212.002,外购半成品_外委加工件,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1212_003,account.account.template,1212.003,外购半成品_标准件,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1212_004,account.account.template,1212.004,外购半成品_三包备件,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1217,account.account.template,1217,修理用备件,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1217_001,account.account.template,1217.001,修理用备件_电料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1217_002,account.account.template,1217.002,修理用备件_机修备件,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1217_003,account.account.template,1217.003,修理用备件_办公维修,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1217_004,account.account.template,1217.004,修理用备件_水暖建安,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1221,account.account.template,1221,包装物,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1231,account.account.template,1231,低值易耗品,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1231_001,account.account.template,1231.001,低值易耗品_办公用品,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1231_002,account.account.template,1231.002,低值易耗品_土杂,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1231_003,account.account.template,1231.003,低值易耗品_劳保用品,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1231_004,account.account.template,1231.004,低值易耗品_工具,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1231_005,account.account.template,1231.005,低值易耗品_刀具,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1231_006,account.account.template,1231.006,低值易耗品_磨具,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1231_007,account.account.template,1231.007,低值易耗品_量具,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1231_008,account.account.template,1231.008,低值易耗品_辅具,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1231_009,account.account.template,1231.009,低值易耗品_工装,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1232,account.account.template,1232,材料成本差异,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1232_001,account.account.template,1232.001,材料成本差异_金属材料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1232_001_001,account.account.template,1232.001.001,材料成本差异_金属材料_钢材,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1232_002,account.account.template,1232.002,材料成本差异_辅助材料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1232_002_001,account.account.template,1232.002.001,材料成本差异_辅助材料_焊接材料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1232_002_002,account.account.template,1232.002.002,材料成本差异_辅助材料_油漆,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1232_002_003,account.account.template,1232.002.003,材料成本差异_辅助材料_油料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1232_003,account.account.template,1232.003,材料成本差异_外购半成品,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1232_003_001,account.account.template,1232.003.001,材料成本差异_外购半成品_整机配件,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1232_003_002,account.account.template,1232.003.002,材料成本差异_外购半成品_外委加工件,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1232_003_003,account.account.template,1232.003.003,材料成本差异_外购半成品_标准件,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1232_003_004,account.account.template,1232.003.004,材料成本差异_外购半成品_三包备件,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1232_004,account.account.template,1232.004,材料成本差异_修理用备件,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
yto_chart1232_004_001,account.account.template,1232.004.001,材料成本差异_修理用备件_电料,流动资产,account.data_account_type_current_assets,FALSE,l10n_chart_china_yto
